experiment_version,pilot_id,case_id,system,status,elapsed_seconds,started_at_utc,finished_at_utc,error_type,error_message,output_path
pilot_v1,P004,H220_20240722_L4,generic_llm,success,31.119,2026-09-08T15:43:35.702311+00:00,2026-09-08T15:44:06.834032+00:00,,,..\outputs\experiment_v1\generic_llm\P004_H220_20240722_L4.json
pilot_v1,P004,H220_20240722_L4,evidence_informed,success,48.939,2026-09-08T15:44:06.838906+00:00,2026-09-08T15:44:55.771266+00:00,,,..\outputs\experiment_v1\evidence_informed\P004_H220_20240722_L4.json
pilot_v1,P005,H223_20240415_L4,frequency_baseline,success,0.0,2026-09-08T15:44:56.115926+00:00,2026-09-08T15:44:56.115926+00:00,,,..\outputs\experiment_v1\frequency_baseline\P005_H223_20240415_L4.json
pilot_v1,P005,H223_20240415_L4,generic_llm,success,32.767,2026-09-08T15:44:56.118566+00:00,2026-09-08T15:45:28.877241+00:00,,,..\outputs\experiment_v1\generic_llm\P005_H223_20240415_L4.json
pilot_v1,P005,H223_20240415_L4,evidence_informed,success,55.657,2026-09-08T15:45:28.893675+00:00,2026-09-08T15:46:24.547425+00:00,,,..\outputs\experiment_v1\evidence_informed\P005_H223_20240415_L4.json
pilot_v1,P006,H225_20241104_L4,frequency_baseline,success,0.0,2026-09-08T15:46:24.708378+00:00,2026-09-08T15:46:24.708378+00:00,,,..\outputs\experiment_v1\frequency_baseline\P006_H225_20241104_L4.json
pilot_v1,P006,H225_20241104_L4,generic_llm,success,35.856,2026-09-08T15:46:24.726908+00:00,2026-09-08T15:47:00.576741+00:00,,,..\outputs\experiment_v1\generic_llm\P006_H225_20241104_L4.json
pilot_v1,P006,H225_20241104_L4,evidence_informed,success,51.929,2026-09-08T15:47:00.576741+00:00,2026-09-08T15:47:52.517906+00:00,,,..\outputs\experiment_v1\evidence_informed\P006_H225_20241104_L4.json
pilot_v1,P007,H308_20241125_L4,frequency_baseline,success,0.0,2026-09-08T15:47:52.684993+00:00,2026-09-08T15:47:52.684993+00:00,,,..\outputs\experiment_v1\frequency_baseline\P007_H308_20241125_L4.json
pilot_v1,P007,H308_20241125_L4,generic_llm,success,36.649,2026-09-08T15:47:52.690727+00:00,2026-09-08T15:48:29.339146+00:00,,,..\outputs\experiment_v1\generic_llm\P007_H308_20241125_L4.json
pilot_v1,P007,H308_20241125_L4,evidence_informed,success,54.298,2026-09-08T15:48:29.346447+00:00,2026-09-08T15:49:23.636620+00:00,,,..\outputs\experiment_v1\evidence_informed\P007_H308_20241125_L4.json
pilot_v1,P008,H345_20240923_L4,frequency_baseline,success,0.0,2026-09-08T15:49:23.807327+00:00,2026-09-08T15:49:23.807327+00:00,,,..\outputs\experiment_v1\frequency_baseline\P008_H345_20240923_L4.json
pilot_v1,P008,H345_20240923_L4,generic_llm,success,30.174,2026-09-08T15:49:23.814429+00:00,2026-09-08T15:49:53.987538+00:00,,,..\outputs\experiment_v1\generic_llm\P008_H345_20240923_L4.json
pilot_v1,P008,H345_20240923_L4,evidence_informed,success,42.793,2026-09-08T15:49:53.987538+00:00,2026-09-08T15:50:36.787514+00:00,,,..\outputs\experiment_v1\evidence_informed\P008_H345_20240923_L4.json
pilot_v1,P009,H363_20240729_L4,frequency_baseline,success,0.0,2026-09-08T15:50:37.086473+00:00,2026-09-08T15:50:37.086473+00:00,,,..\outputs\experiment_v1\frequency_baseline\P009_H363_20240729_L4.json
pilot_v1,P009,H363_20240729_L4,generic_llm,success,29.818,2026-09-08T15:50:37.086473+00:00,2026-09-08T15:51:06.910321+00:00,,,..\outputs\experiment_v1\generic_llm\P009_H363_20240729_L4.json
pilot_v1,P009,H363_20240729_L4,evidence_informed,success,59.755,2026-09-08T15:51:06.910321+00:00,2026-09-08T15:52:06.675348+00:00,,,..\outputs\experiment_v1\evidence_informed\P009_H363_20240729_L4.json
pilot_v1,P010,H468_20240909_L4,frequency_baseline,success,0.0,2026-09-08T15:52:06.928460+00:00,2026-09-08T15:52:06.928460+00:00,,,..\outputs\experiment_v1\frequency_baseline\P010_H468_20240909_L4.json
pilot_v1,P010,H468_20240909_L4,generic_llm,success,36.177,2026-09-08T15:52:06.935691+00:00,2026-09-08T15:52:43.114190+00:00,,,..\outputs\experiment_v1\generic_llm\P010_H468_20240909_L4.json
pilot_v1,P010,H468_20240909_L4,evidence_informed,success,43.853,2026-09-08T15:52:43.114190+00:00,2026-09-08T15:53:26.973548+00:00,,,..\outputs\experiment_v1\evidence_informed\P010_H468_20240909_L4.json
pilot_v1,P011,H32_20241014_L4,frequency_baseline,success,0.0,2026-09-08T15:53:27.200322+00:00,2026-09-08T15:53:27.200322+00:00,,,..\outputs\experiment_v1\frequency_baseline\P011_H32_20241014_L4.json
pilot_v1,P011,H32_20241014_L4,generic_llm,success,30.348,2026-09-08T15:53:27.205897+00:00,2026-09-08T15:53:57.555775+00:00,,,..\outputs\experiment_v1\generic_llm\P011_H32_20241014_L4.json
pilot_v1,P011,H32_20241014_L4,evidence_informed,success,57.646,2026-09-08T15:53:57.560786+00:00,2026-09-08T15:54:55.203231+00:00,,,..\outputs\experiment_v1\evidence_informed\P011_H32_20241014_L4.json
pilot_v1,P012,H77_20241202_L4,frequency_baseline,success,0.0,2026-09-08T15:54:55.382500+00:00,2026-09-08T15:54:55.382500+00:00,,,..\outputs\experiment_v1\frequency_baseline\P012_H77_20241202_L4.json
pilot_v1,P012,H77_20241202_L4,generic_llm,success,30.477,2026-09-08T15:54:55.402476+00:00,2026-09-08T15:55:25.878000+00:00,,,..\outputs\experiment_v1\generic_llm\P012_H77_20241202_L4.json
pilot_v1,P012,H77_20241202_L4,evidence_informed,success,47.05,2026-09-08T15:55:25.885482+00:00,2026-09-08T15:56:12.936262+00:00,,,..\outputs\experiment_v1\evidence_informed\P012_H77_20241202_L4.json
pilot_v1,P013,H97_20240115_L4,frequency_baseline,success,0.0,2026-09-08T15:56:13.087141+00:00,2026-09-08T15:56:13.087141+00:00,,,..\outputs\experiment_v1\frequency_baseline\P013_H97_20240115_L4.json
pilot_v1,P013,H97_20240115_L4,generic_llm,success,29.986,2026-09-08T15:56:13.103700+00:00,2026-09-08T15:56:43.088474+00:00,,,..\outputs\experiment_v1\generic_llm\P013_H97_20240115_L4.json
pilot_v1,P013,H97_20240115_L4,evidence_informed,success,49.869,2026-09-08T15:56:43.093455+00:00,2026-09-08T15:57:32.952399+00:00,,,..\outputs\experiment_v1\evidence_informed\P013_H97_20240115_L4.json
pilot_v1,P014,H121_20240826_L4,frequency_baseline,success,0.0,2026-09-08T15:57:33.122519+00:00,2026-09-08T15:57:33.122519+00:00,,,..\outputs\experiment_v1\frequency_baseline\P014_H121_20240826_L4.json
pilot_v1,P014,H121_20240826_L4,generic_llm,success,29.411,2026-09-08T15:57:33.122519+00:00,2026-09-08T15:58:02.538333+00:00,,,..\outputs\experiment_v1\generic_llm\P014_H121_20240826_L4.json
pilot_v1,P014,H121_20240826_L4,evidence_informed,success,51.75,2026-09-08T15:58:02.543378+00:00,2026-09-08T15:58:54.297183+00:00,,,..\outputs\experiment_v1\evidence_informed\P014_H121_20240826_L4.json
pilot_v1,P015,H137_20240422_L4,frequency_baseline,success,0.0,2026-09-08T15:58:54.471562+00:00,2026-09-08T15:58:54.471562+00:00,,,..\outputs\experiment_v1\frequency_baseline\P015_H137_20240422_L4.json
pilot_v1,P015,H137_20240422_L4,generic_llm,success,26.915,2026-09-08T15:58:54.477148+00:00,2026-09-08T15:59:21.389930+00:00,,,..\outputs\experiment_v1\generic_llm\P015_H137_20240422_L4.json
pilot_v1,P015,H137_20240422_L4,evidence_informed,success,34.705,2026-09-08T15:59:21.389930+00:00,2026-09-08T15:59:56.100061+00:00,,,..\outputs\experiment_v1\evidence_informed\P015_H137_20240422_L4.json
pilot_v1,P016,H149_20240729_L4,frequency_baseline,success,0.0,2026-09-08T15:59:56.878261+00:00,2026-09-08T15:59:56.878261+00:00,,,..\outputs\experiment_v1\frequency_baseline\P016_H149_20240729_L4.json
pilot_v1,P016,H149_20240729_L4,generic_llm,success,32.511,2026-09-08T15:59:56.892528+00:00,2026-09-08T16:00:29.403984+00:00,,,..\outputs\experiment_v1\generic_llm\P016_H149_20240729_L4.json
pilot_v1,P016,H149_20240729_L4,evidence_informed,success,47.459,2026-09-08T16:00:29.414913+00:00,2026-09-08T16:01:16.873349+00:00,,,..\outputs\experiment_v1\evidence_informed\P016_H149_20240729_L4.json
pilot_v1,P017,H247_20240923_L4,frequency_baseline,success,0.0,2026-09-08T16:01:17.103617+00:00,2026-09-08T16:01:17.103617+00:00,,,..\outputs\experiment_v1\frequency_baseline\P017_H247_20240923_L4.json
pilot_v1,P017,H247_20240923_L4,generic_llm,success,38.888,2026-09-08T16:01:17.113545+00:00,2026-09-08T16:01:56.001916+00:00,,,..\outputs\experiment_v1\generic_llm\P017_H247_20240923_L4.json
pilot_v1,P017,H247_20240923_L4,evidence_informed,success,60.251,2026-09-08T16:01:56.005918+00:00,2026-09-08T16:02:56.263745+00:00,,,..\outputs\experiment_v1\evidence_informed\P017_H247_20240923_L4.json
pilot_v1,P018,H324_20240401_L4,frequency_baseline,success,0.0,2026-09-08T16:02:57.290312+00:00,2026-09-08T16:02:57.290312+00:00,,,..\outputs\experiment_v1\frequency_baseline\P018_H324_20240401_L4.json
pilot_v1,P018,H324_20240401_L4,generic_llm,success,26.125,2026-09-08T16:02:57.294675+00:00,2026-09-08T16:03:23.413847+00:00,,,..\outputs\experiment_v1\generic_llm\P018_H324_20240401_L4.json
pilot_v1,P018,H324_20240401_L4,evidence_informed,success,62.902,2026-09-08T16:03:23.435342+00:00,2026-09-08T16:04:26.334234+00:00,,,..\outputs\experiment_v1\evidence_informed\P018_H324_20240401_L4.json
pilot_v1,P019,H413_20240610_L4,frequency_baseline,success,0.0,2026-09-08T16:04:27.350298+00:00,2026-09-08T16:04:27.350298+00:00,,,..\outputs\experiment_v1\frequency_baseline\P019_H413_20240610_L4.json
pilot_v1,P019,H413_20240610_L4,generic_llm,success,24.569,2026-09-08T16:04:27.367690+00:00,2026-09-08T16:04:51.937176+00:00,,,..\outputs\experiment_v1\generic_llm\P019_H413_20240610_L4.json
pilot_v1,P019,H413_20240610_L4,evidence_informed,success,42.462,2026-09-08T16:04:51.961769+00:00,2026-09-08T16:05:34.423580+00:00,,,..\outputs\experiment_v1\evidence_informed\P019_H413_20240610_L4.json
pilot_v1,P020,H492_20241104_L4,frequency_baseline,success,0.0,2026-09-08T16:05:34.794289+00:00,2026-09-08T16:05:34.794289+00:00,,,..\outputs\experiment_v1\frequency_baseline\P020_H492_20241104_L4.json
pilot_v1,P020,H492_20241104_L4,generic_llm,success,27.919,2026-09-08T16:05:34.804645+00:00,2026-09-08T16:06:02.724075+00:00,,,..\outputs\experiment_v1\generic_llm\P020_H492_20241104_L4.json
pilot_v1,P020,H492_20241104_L4,evidence_informed,success,56.193,2026-09-08T16:06:02.739824+00:00,2026-09-08T16:06:58.925341+00:00,,,..\outputs\experiment_v1\evidence_informed\P020_H492_20241104_L4.json
pilot_v1,P021,H20_20240819_L4,frequency_baseline,success,0.0,2026-09-08T16:07:00.104945+00:00,2026-09-08T16:07:00.104945+00:00,,,..\outputs\experiment_v1\frequency_baseline\P021_H20_20240819_L4.json
pilot_v1,P021,H20_20240819_L4,generic_llm,success,25.722,2026-09-08T16:07:00.113502+00:00,2026-09-08T16:07:25.835730+00:00,,,..\outputs\experiment_v1\generic_llm\P021_H20_20240819_L4.json
pilot_v1,P021,H20_20240819_L4,evidence_informed,success,56.067,2026-09-08T16:07:25.835730+00:00,2026-09-08T16:08:21.911079+00:00,,,..\outputs\experiment_v1\evidence_informed\P021_H20_20240819_L4.json
pilot_v1,P022,H65_20240819_L4,frequency_baseline,success,0.0,2026-09-08T16:08:22.565668+00:00,2026-09-08T16:08:22.566329+00:00,,,..\outputs\experiment_v1\frequency_baseline\P022_H65_20240819_L4.json
pilot_v1,P022,H65_20240819_L4,generic_llm,success,34.201,2026-09-08T16:08:22.575041+00:00,2026-09-08T16:08:56.776433+00:00,,,..\outputs\experiment_v1\generic_llm\P022_H65_20240819_L4.json
pilot_v1,P022,H65_20240819_L4,evidence_informed,success,49.95,2026-09-08T16:08:56.781466+00:00,2026-09-08T16:09:46.732092+00:00,,,..\outputs\experiment_v1\evidence_informed\P022_H65_20240819_L4.json
pilot_v1,P023,H72_20240129_L4,frequency_baseline,success,0.0,2026-09-08T16:09:47.085070+00:00,2026-09-08T16:09:47.085070+00:00,,,..\outputs\experiment_v1\frequency_baseline\P023_H72_20240129_L4.json
pilot_v1,P023,H72_20240129_L4,generic_llm,success,30.318,2026-09-08T16:09:47.090328+00:00,2026-09-08T16:10:17.411277+00:00,,,..\outputs\experiment_v1\generic_llm\P023_H72_20240129_L4.json
pilot_v1,P023,H72_20240129_L4,evidence_informed,success,43.404,2026-09-08T16:10:17.428706+00:00,2026-09-08T16:11:00.831710+00:00,,,..\outputs\experiment_v1\evidence_informed\P023_H72_20240129_L4.json
pilot_v1,P024,H131_20240923_L4,frequency_baseline,success,0.0,2026-09-08T16:11:01.199568+00:00,2026-09-08T16:11:01.200576+00:00,,,..\outputs\experiment_v1\frequency_baseline\P024_H131_20240923_L4.json
pilot_v1,P024,H131_20240923_L4,generic_llm,success,47.469,2026-09-08T16:11:01.208583+00:00,2026-09-08T16:11:48.668197+00:00,,,..\outputs\experiment_v1\generic_llm\P024_H131_20240923_L4.json
pilot_v1,P024,H131_20240923_L4,evidence_informed,success,42.298,2026-09-08T16:11:48.685656+00:00,2026-09-08T16:12:30.977159+00:00,,,..\outputs\experiment_v1\evidence_informed\P024_H131_20240923_L4.json
pilot_v1,P025,H288_20240311_L4,frequency_baseline,success,0.0,2026-09-08T16:12:31.536196+00:00,2026-09-08T16:12:31.536196+00:00,,,..\outputs\experiment_v1\frequency_baseline\P025_H288_20240311_L4.json
pilot_v1,P025,H288_20240311_L4,generic_llm,success,22.235,2026-09-08T16:12:31.547785+00:00,2026-09-08T16:12:53.782377+00:00,,,..\outputs\experiment_v1\generic_llm\P025_H288_20240311_L4.json
pilot_v1,P025,H288_20240311_L4,evidence_informed,success,50.584,2026-09-08T16:12:53.791436+00:00,2026-09-08T16:13:44.373784+00:00,,,..\outputs\experiment_v1\evidence_informed\P025_H288_20240311_L4.json
pilot_v1,P026,H300_20240617_L4,frequency_baseline,success,0.0,2026-09-08T16:13:44.820902+00:00,2026-09-08T16:13:44.820902+00:00,,,..\outputs\experiment_v1\frequency_baseline\P026_H300_20240617_L4.json
pilot_v1,P026,H300_20240617_L4,generic_llm,success,27.774,2026-09-08T16:13:44.835330+00:00,2026-09-08T16:14:12.611603+00:00,,,..\outputs\experiment_v1\generic_llm\P026_H300_20240617_L4.json
pilot_v1,P026,H300_20240617_L4,evidence_informed,success,48.3,2026-09-08T16:14:12.621084+00:00,2026-09-08T16:15:00.910812+00:00,,,..\outputs\experiment_v1\evidence_informed\P026_H300_20240617_L4.json
pilot_v1,P027,H407_20240722_L4,frequency_baseline,success,0.0,2026-09-08T16:15:01.278681+00:00,2026-09-08T16:15:01.278681+00:00,,,..\outputs\experiment_v1\frequency_baseline\P027_H407_20240722_L4.json
pilot_v1,P027,H407_20240722_L4,generic_llm,success,34.911,2026-09-08T16:15:01.287847+00:00,2026-09-08T16:15:36.198522+00:00,,,..\outputs\experiment_v1\generic_llm\P027_H407_20240722_L4.json
pilot_v1,P027,H407_20240722_L4,evidence_informed,success,36.035,2026-09-08T16:15:36.206601+00:00,2026-09-08T16:16:12.233236+00:00,,,..\outputs\experiment_v1\evidence_informed\P027_H407_20240722_L4.json
pilot_v1,P028,H414_20240513_L4,frequency_baseline,success,0.0,2026-09-08T16:16:12.630086+00:00,2026-09-08T16:16:12.630086+00:00,,,..\outputs\experiment_v1\frequency_baseline\P028_H414_20240513_L4.json
pilot_v1,P028,H414_20240513_L4,generic_llm,success,29.204,2026-09-08T16:16:12.635930+00:00,2026-09-08T16:16:41.839764+00:00,,,..\outputs\experiment_v1\generic_llm\P028_H414_20240513_L4.json
pilot_v1,P028,H414_20240513_L4,evidence_informed,success,50.989,2026-09-08T16:16:41.839764+00:00,2026-09-08T16:17:32.836671+00:00,,,..\outputs\experiment_v1\evidence_informed\P028_H414_20240513_L4.json
pilot_v1,P029,H499_20240429_L4,frequency_baseline,success,0.0,2026-09-08T16:17:33.213740+00:00,2026-09-08T16:17:33.214739+00:00,,,..\outputs\experiment_v1\frequency_baseline\P029_H499_20240429_L4.json
pilot_v1,P029,H499_20240429_L4,generic_llm,success,40.117,2026-09-08T16:17:33.227258+00:00,2026-09-08T16:18:13.335937+00:00,,,..\outputs\experiment_v1\generic_llm\P029_H499_20240429_L4.json
pilot_v1,P029,H499_20240429_L4,evidence_informed,success,45.472,2026-09-08T16:18:13.353088+00:00,2026-09-08T16:18:58.827165+00:00,,,..\outputs\experiment_v1\evidence_informed\P029_H499_20240429_L4.json
pilot_v1,P030,H556_20240603_L4,frequency_baseline,success,0.0,2026-09-08T16:18:59.166588+00:00,2026-09-08T16:18:59.166588+00:00,,,..\outputs\experiment_v1\frequency_baseline\P030_H556_20240603_L4.json
pilot_v1,P030,H556_20240603_L4,generic_llm,success,27.834,2026-09-08T16:18:59.168603+00:00,2026-09-08T16:19:27.010977+00:00,,,..\outputs\experiment_v1\generic_llm\P030_H556_20240603_L4.json
pilot_v1,P030,H556_20240603_L4,evidence_informed,success,42.624,2026-09-08T16:19:27.015835+00:00,2026-09-08T16:20:09.638698+00:00,,,..\outputs\experiment_v1\evidence_informed\P030_H556_20240603_L4.json
pilot_v1,P031,H51_20240129_L4,frequency_baseline,success,0.0,2026-09-08T16:20:09.959851+00:00,2026-09-08T16:20:09.959851+00:00,,,..\outputs\experiment_v1\frequency_baseline\P031_H51_20240129_L4.json
pilot_v1,P031,H51_20240129_L4,generic_llm,success,22.749,2026-09-08T16:20:09.967917+00:00,2026-09-08T16:20:32.722045+00:00,,,..\outputs\experiment_v1\generic_llm\P031_H51_20240129_L4.json
pilot_v1,P031,H51_20240129_L4,evidence_informed,success,49.404,2026-09-08T16:20:32.723083+00:00,2026-09-08T16:21:22.134042+00:00,,,..\outputs\experiment_v1\evidence_informed\P031_H51_20240129_L4.json
pilot_v1,P032,H83_20241021_L4,frequency_baseline,success,0.0,2026-09-08T16:21:22.480051+00:00,2026-09-08T16:21:22.480051+00:00,,,..\outputs\experiment_v1\frequency_baseline\P032_H83_20241021_L4.json
pilot_v1,P032,H83_20241021_L4,generic_llm,success,33.451,2026-09-08T16:21:22.488929+00:00,2026-09-08T16:21:55.940216+00:00,,,..\outputs\experiment_v1\generic_llm\P032_H83_20241021_L4.json
pilot_v1,P032,H83_20241021_L4,evidence_informed,success,57.37,2026-09-08T16:21:55.946445+00:00,2026-09-08T16:22:53.314144+00:00,,,..\outputs\experiment_v1\evidence_informed\P032_H83_20241021_L4.json
pilot_v1,P033,H217_20240311_L4,frequency_baseline,success,0.0,2026-09-08T16:22:54.288090+00:00,2026-09-08T16:22:54.288090+00:00,,,..\outputs\experiment_v1\frequency_baseline\P033_H217_20240311_L4.json
pilot_v1,P033,H217_20240311_L4,generic_llm,success,23.416,2026-09-08T16:22:54.295996+00:00,2026-09-08T16:23:17.705897+00:00,,,..\outputs\experiment_v1\generic_llm\P033_H217_20240311_L4.json
pilot_v1,P033,H217_20240311_L4,evidence_informed,success,49.548,2026-09-08T16:23:17.718203+00:00,2026-09-08T16:24:07.268060+00:00,,,..\outputs\experiment_v1\evidence_informed\P033_H217_20240311_L4.json
pilot_v1,P034,H317_20240506_L4,frequency_baseline,success,0.0,2026-09-08T16:24:07.442346+00:00,2026-09-08T16:24:07.443016+00:00,,,..\outputs\experiment_v1\frequency_baseline\P034_H317_20240506_L4.json
pilot_v1,P034,H317_20240506_L4,generic_llm,success,50.086,2026-09-08T16:24:07.443712+00:00,2026-09-08T16:24:57.533633+00:00,,,..\outputs\experiment_v1\generic_llm\P034_H317_20240506_L4.json
pilot_v1,P034,H317_20240506_L4,evidence_informed,success,58.279,2026-09-08T16:24:57.533633+00:00,2026-09-08T16:25:55.821128+00:00,,,..\outputs\experiment_v1\evidence_informed\P034_H317_20240506_L4.json
pilot_v1,P035,H364_20240520_L4,frequency_baseline,success,0.0,2026-09-08T16:25:56.011808+00:00,2026-09-08T16:25:56.011808+00:00,,,..\outputs\experiment_v1\frequency_baseline\P035_H364_20240520_L4.json
pilot_v1,P035,H364_20240520_L4,generic_llm,success,31.567,2026-09-08T16:25:56.024121+00:00,2026-09-08T16:26:27.588219+00:00,,,..\outputs\experiment_v1\generic_llm\P035_H364_20240520_L4.json
pilot_v1,P035,H364_20240520_L4,evidence_informed,success,40.204,2026-09-08T16:26:27.588219+00:00,2026-09-08T16:27:07.795082+00:00,,,..\outputs\experiment_v1\evidence_informed\P035_H364_20240520_L4.json
pilot_v1,P036,H400_20240617_L4,frequency_baseline,success,0.0,2026-09-08T16:27:07.994832+00:00,2026-09-08T16:27:07.994832+00:00,,,..\outputs\experiment_v1\frequency_baseline\P036_H400_20240617_L4.json
pilot_v1,P036,H400_20240617_L4,generic_llm,success,24.645,2026-09-08T16:27:07.994832+00:00,2026-09-08T16:27:32.643721+00:00,,,..\outputs\experiment_v1\generic_llm\P036_H400_20240617_L4.json
pilot_v1,P036,H400_20240617_L4,evidence_informed,success,47.874,2026-09-08T16:27:32.648447+00:00,2026-09-08T16:28:20.526173+00:00,,,..\outputs\experiment_v1\evidence_informed\P036_H400_20240617_L4.json
pilot_v1,P037,H424_20240930_L4,frequency_baseline,success,0.0,2026-09-08T16:28:20.739384+00:00,2026-09-08T16:28:20.739384+00:00,,,..\outputs\experiment_v1\frequency_baseline\P037_H424_20240930_L4.json
pilot_v1,P037,H424_20240930_L4,generic_llm,success,35.745,2026-09-08T16:28:20.746193+00:00,2026-09-08T16:28:56.481872+00:00,,,..\outputs\experiment_v1\generic_llm\P037_H424_20240930_L4.json
pilot_v1,P037,H424_20240930_L4,evidence_informed,success,72.541,2026-09-08T16:28:56.497020+00:00,2026-09-08T16:30:09.034178+00:00,,,..\outputs\experiment_v1\evidence_informed\P037_H424_20240930_L4.json
pilot_v1,P038,H430_20240226_L4,frequency_baseline,success,0.0,2026-09-08T16:30:09.567357+00:00,2026-09-08T16:30:09.567357+00:00,,,..\outputs\experiment_v1\frequency_baseline\P038_H430_20240226_L4.json
pilot_v1,P038,H430_20240226_L4,generic_llm,success,32.463,2026-09-08T16:30:09.583496+00:00,2026-09-08T16:30:42.044134+00:00,,,..\outputs\experiment_v1\generic_llm\P038_H430_20240226_L4.json
pilot_v1,P038,H430_20240226_L4,evidence_informed,success,60.97,2026-09-08T16:30:42.044134+00:00,2026-09-08T16:31:43.010819+00:00,,,..\outputs\experiment_v1\evidence_informed\P038_H430_20240226_L4.json
pilot_v1,P039,H436_20240429_L4,frequency_baseline,success,0.0,2026-09-08T16:31:43.276979+00:00,2026-09-08T16:31:43.276979+00:00,,,..\outputs\experiment_v1\frequency_baseline\P039_H436_20240429_L4.json
pilot_v1,P039,H436_20240429_L4,generic_llm,success,35.654,2026-09-08T16:31:43.285197+00:00,2026-09-08T16:32:18.929893+00:00,,,..\outputs\experiment_v1\generic_llm\P039_H436_20240429_L4.json
pilot_v1,P039,H436_20240429_L4,evidence_informed,success,53.715,2026-09-08T16:32:18.945590+00:00,2026-09-08T16:33:12.661047+00:00,,,..\outputs\experiment_v1\evidence_informed\P039_H436_20240429_L4.json
pilot_v1,P040,H533_20240722_L4,frequency_baseline,success,0.0,2026-09-08T16:33:12.915437+00:00,2026-09-08T16:33:12.915437+00:00,,,..\outputs\experiment_v1\frequency_baseline\P040_H533_20240722_L4.json
pilot_v1,P040,H533_20240722_L4,generic_llm,success,41.248,2026-09-08T16:33:12.924415+00:00,2026-09-08T16:33:54.169950+00:00,,,..\outputs\experiment_v1\generic_llm\P040_H533_20240722_L4.json
pilot_v1,P040,H533_20240722_L4,evidence_informed,success,39.713,2026-09-08T16:33:54.169950+00:00,2026-09-08T16:34:33.878799+00:00,,,..\outputs\experiment_v1\evidence_informed\P040_H533_20240722_L4.json
