pilot_id,case_id,hotel_id,hotel_name,nuts2,stars,decision_week,decision_date,window_start,window_end,lookback_weeks,reviews_in_window,avg_reviews_per_week,latest_week_reviews,stratum,experience_warning_count,experience_warning_metrics,performance_deterioration_count,performance_improvement_count,performance_stable_or_mixed_count,performance_deterioration_metrics,performance_improvement_metrics,revpar_direction,revpar_trend_strength,revpar_percentage_change,trevpar_direction,occupancy_direction,sentiment_direction,expectation_gap_direction,misalignment_direction,violation_ratio_direction,emotion_entropy_direction,operational_complaints_direction,latest_revpar,latest_rating,latest_sentiment,latest_expectation_gap,latest_misalignment,latest_violation_ratio
P011,H32_20241014_L4,32,Hotel Madeira,Região Autónoma da Madeira,3.0,2024_W42,2024-10-14,2024-09-23,2024-10-20,4,34,8.5,10,mixed_or_weak_signals,2,"['SENTIMENT_SCORE_AVG', 'PERC_OPERATIONAL_COMPLAINTS']",1,1,1,['TREVPAR_WEEK'],['REVPAR_WEEK'],increasing,moderate,9.64817485263402,decreasing,decreasing,decreasing,fluctuating,fluctuating,stable,fluctuating,increasing,86.81489314120721,7.7,0.24,0.18,0.18,1.0
P012,H77_20241202_L4,77,Hotel Termas da Curia,Centro (PT),3.0,2024_W49,2024-12-02,2024-11-11,2024-12-08,4,22,5.5,7,mixed_or_weak_signals,2,"['SENTIMENT_SCORE_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG']",0,3,0,[],"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",increasing,consistent,157.11423177693737,increasing,increasing,decreasing,fluctuating,increasing,stable,fluctuating,decreasing,28.3908410899654,7.428571428571429,0.12,0.1,0.1875,1.0
P013,H97_20240115_L4,97,Hotel Miracorgo,Norte,4.0,2024_W03,2024-01-15,2023-12-25,2024-01-21,4,22,5.5,5,mixed_or_weak_signals,2,"['SENTIMENT_SCORE_AVG', 'EMOTION_ENTROPY']",3,0,0,"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,moderate,-71.28547563010764,decreasing,decreasing,decreasing,increasing,increasing,insufficient_data,increasing,stable,14.462111839830458,7.8,-0.0249999999999999,0.525,0.575,1.0
P014,H121_20240826_L4,121,Almadina Smart Luxury,Norte,,2024_W35,2024-08-26,2024-08-05,2024-09-01,4,26,6.5,4,mixed_or_weak_signals,2,"['SENTIMENT_SCORE_AVG', 'EMOTION_ENTROPY']",2,0,1,"['REVPAR_WEEK', 'TREVPAR_WEEK']",[],decreasing,moderate,-12.909952546803236,decreasing,decreasing,decreasing,increasing,increasing,insufficient_data,increasing,stable,125.11263244680852,9.0,0.4,0.1,0.1,1.0
P015,H137_20240422_L4,137,Quinta da Boavista,Alentejo,,2024_W17,2024-04-22,2024-04-01,2024-04-28,4,25,6.25,7,mixed_or_weak_signals,2,"['SENTIMENT_SCORE_AVG', 'EMOTION_ENTROPY']",0,3,0,[],"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",increasing,moderate,248.01698331235534,increasing,increasing,decreasing,fluctuating,fluctuating,insufficient_data,increasing,decreasing,74.14242983870969,8.714285714285714,0.4333333333333333,0.0,0.0,
P016,H149_20240729_L4,149,Hotel Mundial,Grande Lisboa,4.0,2024_W31,2024-07-29,2024-07-08,2024-08-04,4,181,45.25,45,mixed_or_weak_signals,1,['PERC_OPERATIONAL_COMPLAINTS'],3,0,0,"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,moderate,-35.23151195581327,decreasing,decreasing,increasing,increasing,increasing,decreasing,decreasing,increasing,87.16439258911635,8.688888888888888,0.3550724637681159,0.1243589743589743,0.1243589743589743,0.9411764705882352
P017,H247_20240923_L4,247,Monturi Hostel,Região Autónoma dos Açores,,2024_W39,2024-09-23,2024-09-02,2024-09-29,4,22,5.5,7,mixed_or_weak_signals,1,['SENTIMENT_SCORE_AVG'],3,0,0,"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,moderate,-10.134799484625539,decreasing,decreasing,decreasing,decreasing,decreasing,insufficient_data,increasing,decreasing,56.8913466511357,9.0,0.0833333333333333,0.0,0.0,
P018,H324_20240401_L4,324,Luzeiros Suites,Grande Lisboa,,2024_W14,2024-04-01,2024-03-11,2024-04-07,4,172,43.0,36,mixed_or_weak_signals,0,[],3,0,0,"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,moderate,-17.16434192554169,decreasing,decreasing,increasing,fluctuating,fluctuating,stable,decreasing,increasing,66.11584334073252,8.722222222222221,0.3576923076923076,0.0625,0.0625,1.0
P019,H413_20240610_L4,413,Dom Pedro Marina,Algarve,4.0,2024_W24,2024-06-10,2024-05-20,2024-06-16,4,62,15.5,14,mixed_or_weak_signals,2,"['SENTIMENT_SCORE_AVG', 'EMOTION_ENTROPY']",0,1,2,[],['TREVPAR_WEEK'],fluctuating,fluctuating,-0.16756948584457246,increasing,increasing,decreasing,fluctuating,fluctuating,stable,increasing,fluctuating,110.2589757269641,7.5,-0.0166666666666666,0.0999999999999999,0.0999999999999999,1.0
P020,H492_20241104_L4,492,PaÃ§o do Bispo Boutique House,Grande Lisboa,,2024_W45,2024-11-04,2024-10-14,2024-11-10,4,28,7.0,8,mixed_or_weak_signals,0,[],2,1,0,"['REVPAR_WEEK', 'TREVPAR_WEEK']",['TAXA_OCUPACAO'],decreasing,moderate,-9.116038456197375,decreasing,increasing,increasing,decreasing,decreasing,insufficient_data,decreasing,stable,79.64764636363635,9.125,0.7571428571428571,0.0,0.0,
P021,H20_20240819_L4,20,Grande PensÃ£o Residencial Alcobia,Grande Lisboa,1.0,2024_W34,2024-08-19,2024-07-29,2024-08-25,4,132,33.0,37,stable_or_healthy,1,['EMOTION_ENTROPY'],0,2,1,[],"['REVPAR_WEEK', 'TREVPAR_WEEK']",increasing,moderate,20.075180553614036,increasing,increasing,increasing,decreasing,decreasing,increasing,increasing,decreasing,100.32208343288536,7.675675675675675,0.1619047619047619,0.1152173913043478,0.1217391304347826,1.0
P022,H65_20240819_L4,65,Palm OÃ¡sis,Algarve,,2024_W34,2024-08-19,2024-07-29,2024-08-25,4,43,10.75,11,stable_or_healthy,1,['PERC_OPERATIONAL_COMPLAINTS'],0,2,1,[],"['TREVPAR_WEEK', 'TAXA_OCUPACAO']",increasing,weak,103.33813901034974,increasing,increasing,increasing,decreasing,decreasing,stable,fluctuating,increasing,84.90560157431818,7.272727272727272,0.1071428571428571,0.28125,0.33125,1.0
P023,H72_20240129_L4,72,Corpo Santo Lisbon Historical Hotel,Grande Lisboa,5.0,2024_W05,2024-01-29,2024-01-08,2024-02-04,4,29,7.25,8,stable_or_healthy,0,[],0,1,2,[],['TREVPAR_WEEK'],fluctuating,fluctuating,16.51461977848021,increasing,fluctuating,increasing,decreasing,decreasing,insufficient_data,decreasing,insufficient_data,89.70502114235939,9.875,0.7857142857142857,0.0,0.0,
P024,H131_20240923_L4,131,Hotel Mar e Sol & Spa,Centro (PT),4.0,2024_W39,2024-09-23,2024-09-02,2024-09-29,4,36,9.0,6,stable_or_healthy,1,['EMOTION_ENTROPY'],1,2,0,['TAXA_OCUPACAO'],"['REVPAR_WEEK', 'TREVPAR_WEEK']",increasing,moderate,19.78930539002507,increasing,decreasing,increasing,decreasing,decreasing,stable,increasing,decreasing,98.09983581222676,7.833333333333333,0.125,0.0,0.0,
P025,H288_20240311_L4,288,Hotel Moov Oeiras,Grande Lisboa,2.0,2024_W11,2024-03-11,2024-02-19,2024-03-17,4,68,17.0,16,stable_or_healthy,1,['EMOTION_ENTROPY'],1,1,1,['TAXA_OCUPACAO'],['REVPAR_WEEK'],increasing,moderate,4.750519438083834,increasing,decreasing,decreasing,decreasing,decreasing,fluctuating,increasing,decreasing,35.71845287182872,8.375,-0.025,0.0,0.0,
P026,H300_20240617_L4,300,Hotel Rural Quinta de Novais,Norte,,2024_W25,2024-06-17,2024-05-27,2024-06-23,4,27,6.75,12,stable_or_healthy,1,['EMOTION_ENTROPY'],1,0,2,['TAXA_OCUPACAO'],[],fluctuating,fluctuating,28.634942804468082,decreasing,decreasing,decreasing,fluctuating,fluctuating,stable,increasing,fluctuating,47.32545787499999,8.75,0.425,0.04375,0.04375,1.0
P027,H407_20240722_L4,407,Axis Ponte de Lima Golfe Resort Hotel,Norte,3.0,2024_W30,2024-07-22,2024-07-01,2024-07-28,4,31,7.75,12,stable_or_healthy,0,[],0,1,2,[],['REVPAR_WEEK'],increasing,moderate,3.474209589175978,fluctuating,fluctuating,fluctuating,decreasing,decreasing,stable,fluctuating,decreasing,69.55349547932333,8.25,0.4599999999999999,0.175,0.175,1.0
P028,H414_20240513_L4,414,Dom Pedro Vilamoura,Algarve,4.0,2024_W20,2024-05-13,2024-04-22,2024-05-19,4,46,11.5,7,stable_or_healthy,0,[],0,2,1,[],"['REVPAR_WEEK', 'TREVPAR_WEEK']",increasing,consistent,25.974370738405334,increasing,fluctuating,decreasing,fluctuating,fluctuating,stable,decreasing,decreasing,90.9771229500882,8.714285714285714,0.33,0.1399999999999999,0.1,1.0
P029,H499_20240429_L4,499,Alameda Exclusive House,Algarve,,2024_W18,2024-04-29,2024-04-08,2024-05-05,4,39,9.75,10,stable_or_healthy,0,[],0,3,0,[],"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",increasing,moderate,15.022608701315903,increasing,increasing,decreasing,increasing,increasing,stable,decreasing,decreasing,40.95442068877551,7.9,-0.1333333333333333,0.2333333333333333,0.2333333333333333,1.0
P030,H556_20240603_L4,556,Regency Salgados Hotel & Spa,Algarve,4.0,2024_W23,2024-06-03,2024-05-13,2024-06-09,4,38,9.5,9,stable_or_healthy,0,[],0,2,1,[],"['REVPAR_WEEK', 'TREVPAR_WEEK']",increasing,consistent,54.52297697174326,increasing,increasing,decreasing,decreasing,decreasing,stable,decreasing,decreasing,105.0564154958678,9.11111111111111,0.2499999999999999,0.0,0.0,
P031,H51_20240129_L4,51,White W Lisboa,Grande Lisboa,3.0,2024_W05,2024-01-29,2024-01-08,2024-02-04,4,39,9.75,8,strong_performance_experience_warning,3,"['EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'PERC_OPERATIONAL_COMPLAINTS']",0,1,2,[],['TAXA_OCUPACAO'],increasing,weak,28.44119840981701,increasing,increasing,increasing,increasing,increasing,fluctuating,decreasing,increasing,44.22993358722359,9.0,0.4571428571428572,0.12,0.1399999999999999,1.0
P032,H83_20241021_L4,83,Hotel Residencial Dona Teresa,Norte,,2024_W43,2024-10-21,2024-09-30,2024-10-27,4,54,13.5,9,strong_performance_experience_warning,3,"['EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'EXPECTATION_VIOLATION_RATIO']",0,1,2,[],['TAXA_OCUPACAO'],fluctuating,fluctuating,-0.5386261100726942,fluctuating,increasing,increasing,increasing,increasing,increasing,decreasing,decreasing,37.90165977128625,7.444444444444445,0.1714285714285714,0.175,0.175,1.0
P033,H217_20240311_L4,217,Solar dos Poetas,Grande Lisboa,,2024_W11,2024-03-11,2024-02-19,2024-03-17,4,140,35.0,31,strong_performance_experience_warning,3,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG']",0,3,0,[],"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",increasing,consistent,25.93316374598789,increasing,increasing,decreasing,increasing,increasing,fluctuating,decreasing,fluctuating,129.00159446697933,8.548387096774194,0.2735294117647059,0.11,0.1174999999999999,1.0
P034,H317_20240506_L4,317,Hotel Aleluia,Oeste e Vale do Tejo,3.0,2024_W19,2024-05-06,2024-04-15,2024-05-12,4,35,8.75,7,strong_performance_experience_warning,4,"['EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'EXPECTATION_VIOLATION_RATIO', 'PERC_OPERATIONAL_COMPLAINTS']",1,2,0,['TAXA_OCUPACAO'],"['REVPAR_WEEK', 'TREVPAR_WEEK']",increasing,moderate,195.30318815475457,increasing,decreasing,increasing,increasing,increasing,increasing,fluctuating,increasing,114.9529135858586,9.428571428571429,0.5666666666666668,0.0583333333333333,0.0583333333333333,1.0
P035,H364_20240520_L4,364,Hotel Fortaleza do Guincho Relais & ChÃ¢teaux,Grande Lisboa,5.0,2024_W21,2024-05-20,2024-04-29,2024-05-26,4,24,6.0,5,strong_performance_experience_warning,3,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG']",0,2,1,[],"['TREVPAR_WEEK', 'TAXA_OCUPACAO']",increasing,weak,2.038340016591081,increasing,increasing,decreasing,increasing,increasing,stable,increasing,decreasing,232.47849221380469,9.2,0.0166666666666666,0.2833333333333334,0.3333333333333333,1.0
P036,H400_20240617_L4,400,Turim Club d'AzeitÃ£o Hotel,Grande Lisboa,4.0,2024_W25,2024-06-17,2024-05-27,2024-06-23,4,30,7.5,12,strong_performance_experience_warning,5,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'EXPECTATION_VIOLATION_RATIO', 'EMOTION_ENTROPY']",0,3,0,[],"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",increasing,moderate,81.26837481241685,increasing,increasing,decreasing,increasing,increasing,increasing,increasing,decreasing,51.9534620020828,9.0,0.2799999999999999,0.15,0.2333333333333333,1.3333333333333333
P037,H424_20240930_L4,424,Vidamar Resort Hotel Madeira,Região Autónoma da Madeira,5.0,2024_W40,2024-09-30,2024-09-09,2024-10-06,4,20,5.0,6,strong_performance_experience_warning,3,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG']",1,2,0,['TAXA_OCUPACAO'],"['REVPAR_WEEK', 'TREVPAR_WEEK']",increasing,moderate,7.4298498356307725,increasing,decreasing,decreasing,increasing,increasing,increasing,increasing,decreasing,146.78388143700977,8.833333333333334,-0.0166666666666666,0.3333333333333333,0.4333333333333333,1.0
P038,H430_20240226_L4,430,Figueira by The Beautique Hotels,Grande Lisboa,4.0,2024_W09,2024-02-26,2024-02-05,2024-03-03,4,127,31.75,31,strong_performance_experience_warning,3,"['EXPECTATION_VIOLATION_RATIO', 'EMOTION_ENTROPY', 'PERC_OPERATIONAL_COMPLAINTS']",0,3,0,[],"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",increasing,consistent,21.80237379029197,increasing,increasing,increasing,decreasing,decreasing,increasing,increasing,increasing,118.99535653602304,8.741935483870968,0.2885714285714286,0.0714285714285714,0.0976190476190476,1.0
P039,H436_20240429_L4,436,262 Boutique Aliados,Norte,,2024_W18,2024-04-29,2024-04-08,2024-05-05,4,45,11.25,13,strong_performance_experience_warning,5,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'EMOTION_ENTROPY', 'PERC_OPERATIONAL_COMPLAINTS']",0,2,1,[],"['REVPAR_WEEK', 'TREVPAR_WEEK']",increasing,moderate,5.972668279217311,increasing,stable,decreasing,increasing,increasing,stable,increasing,increasing,101.83907826086956,8.461538461538462,0.3785714285714286,0.055,0.055,1.0
P040,H533_20240722_L4,533,The Gate,Norte,,2024_W30,2024-07-22,2024-07-01,2024-07-28,4,64,16.0,19,strong_performance_experience_warning,4,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'EMOTION_ENTROPY']",0,3,0,[],"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",increasing,moderate,1.5262488595132813,increasing,increasing,decreasing,increasing,increasing,stable,increasing,increasing,58.25049168819984,8.578947368421053,0.2727272727272726,0.1346153846153846,0.1576923076923077,1.0
